,Season,Difference,away,home,score,week,winner,homeATT,homeMID,homeDEF,homeOVR,awayATT,awayMID,awayDEF,awayOVR,homeworth,homeage,awayworth,awayage,homesupport,awaysupport
0,2016.0,-1.0,BURSASPOR,ADANASPOR A.Ş.,1 - 2,1.0,away,71.0,67.0,69.0,69.0,70.0,72.0,71.0,72.0,19.98,23.7,48.98,24.4,4594.0,16106.0
1,2016.0,0.0,ATIKER KONYASPOR,ÇAYKUR RIZESPOR A.Ş.,1 - 1,1.0,Draw,76.0,68.0,68.0,69.0,72.0,70.0,71.0,71.0,34.68,22.6,28.75,25.3,3369.0,15723.0
2,2016.0,2.0,KASIMPAŞA A.Ş.,TRABZONSPOR A.Ş.,2 - 0,1.0,home,73.0,74.0,76.0,74.0,69.0,71.0,71.0,70.0,95.95,23.8,39.5,23.4,17252.0,1416.0
3,2016.0,3.0,ALANYASPOR,BEŞIKTAŞ A.Ş.,4 - 1,1.0,home,78.0,78.0,76.0,78.0,,,,,177.4,25.3,38.68,25.5,30448.0,4541.0
4,2016.0,-2.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,KAYSERISPOR,0 - 2,1.0,away,73.0,72.0,70.0,71.0,70.0,71.0,71.0,70.0,45.85,25.0,50.2,26.7,5524.0,2501.0
5,2016.0,2.0,GAZIANTEPSPOR,GENÇLERBIRLIĞI,2 - 0,1.0,home,69.0,70.0,70.0,70.0,71.0,69.0,68.0,70.0,36.78,24.1,40.55,24.6,2625.0,4236.0
6,2016.0,1.0,FENERBAHÇE A.Ş.,MEDIPOL BAŞAKŞEHIR FK,1 - 0,1.0,home,78.0,75.0,73.0,75.0,80.0,77.0,78.0,77.0,72.95,26.4,168.68,24.8,3208.0,16485.0
7,2016.0,0.0,OSMANLISPOR FUTBOL KULÜBÜ,ANTALYASPOR A.Ş.,0 - 0,1.0,Draw,81.0,71.0,72.0,71.0,74.0,74.0,72.0,73.0,41.8,25.4,56.7,25.1,12645.0,3792.0
8,2016.0,1.0,KARDEMIR KARABÜKSPOR,GALATASARAY A.Ş.,1 - 0,1.0,home,76.0,77.0,74.0,76.0,71.0,70.0,70.0,70.0,129.35,25.1,36.08,25.8,21351.0,4422.0
9,2016.0,1.0,ANTALYASPOR A.Ş.,AYTEMIZ ALANYASPOR,2 - 1,2.0,home,73.0,70.0,71.0,70.0,81.0,71.0,72.0,71.0,38.68,25.5,41.8,25.4,4541.0,12645.0
